Mobile Remediation Tasks,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Yellow columns are maintained by delivery leads. Do not enter PHI, credentials or tokens.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Task ID,Workstream,Priority,Responsible Role,Task,Implementation Notes / Dependency,Acceptance Criteria,SRS / Contract Reference,Source File / Current Evidence,Owner,Target Date,Dependency IDs,Evidence Link / Reference,Status,Reviewer Notes
MOB-046,Architecture,P1,Mobile,Define typed API models and validation,Prefer migration of business code to TypeScript.,Type-check and malformed-payload tests pass,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-29,,,Not Started,
MOB-047,Architecture,P1,Mobile,Remove unused web-only dependencies,Review MUI/Emotion and other unused packages.,Dependency tree is minimal and release build passes,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-29,,,Not Started,
MOB-048,Security,P0,Mobile + DevOps,Enforce HTTPS and production transport security,Review Android network security and iOS ATS.,Cleartext production traffic is rejected,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-30,,,Not Started,
MOB-049,Security,P1,Mobile,Define protected-health-information cache policy,Minimize local caching and clear on logout/account switch.,Documented policy verified on device storage,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-30,,,Not Started,
MOB-050,Security,P1,Mobile,Redact PHI and credentials from crash reporting and telemetry,Include notification and network error payloads.,Production telemetry test contains no prohibited values,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-30,,,Not Started,
MOB-051,Security,P1,Mobile,Validate deep links and external navigation inputs,Reject unexpected destinations/parameters.,Deep-link tampering tests pass,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-30,,,Not Started,
MOB-052,Security,P1,Mobile,Protect sensitive app-switcher previews where practical,Apply approved platform privacy behavior.,Device evidence documents behavior and limitations,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-30,,,Not Started,
MOB-053,Security,P1,Mobile,Review dependencies and supported Expo SDK versions,Run Expo health and vulnerability checks; remediate findings.,No unresolved critical/high mobile dependency findings,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-30,,,Not Started,
MOB-054,Accessibility,P1,Mobile,Complete accessibility semantics and touch-target review,"Roles, labels, hints, selected states and screen-reader order.",Android/iOS accessibility evidence passes,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-30,,,Not Started,
MOB-055,Accessibility,P1,Mobile,"Support dynamic text, safe areas and responsive layouts",Test supported device sizes and orientation policy.,No clipping/overlap in supported configurations,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-30,,,Not Started,
MOB-056,Accessibility,P1,Mobile,Ensure status is not conveyed by color alone,"Retain green approved, red rejected and blue pending plus text/icon.",Color/contrast and non-color cues pass review,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-30,,,Not Started,
MOB-057,Quality,P0,QA + Mobile,Create automated auth/session test suite,"Cover expiry, refresh, reuse/revocation, logout, role and navigation guards.",All session tests pass in CI,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-31,,,Not Started,
MOB-058,Quality,P0,QA + Backend + Mobile,Create API contract and authorization integration tests,"Cover 401, 403, envelopes, timeout, malformed response and cross-patient access.",All contract/security tests pass,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-31,,,Not Started,
MOB-059,Quality,P1,QA + Mobile,Execute Android end-to-end patient workflow suite,Use a real build on representative emulator/device.,Evidence covers all acceptance scenarios,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-31,,,Not Started,
MOB-060,Quality,P1,QA + Mobile,Execute iOS end-to-end patient workflow suite,Use a real build on representative simulator/device.,Evidence covers all acceptance scenarios,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-31,,,Not Started,
MOB-061,Quality,P1,QA + Mobile,"Verify offline, timeout, retry and duplicate-tap behavior",Include recovery without duplicate consent mutations.,Resilience scenarios pass with captured evidence,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-31,,,Not Started,
MOB-062,Quality,P1,Mobile,"Add CI gates for lint, type-check, tests and release builds",Use non-watch test command in CI.,All gates pass for merge/release,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-31,,,Not Started,
MOB-063,Documentation,P1,Mobile + Backend,Publish endpoint contract and environment setup guide,Document public config versus secrets.,New developer can build each environment from instructions,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-31,,,Not Started,
MOB-064,Documentation,P1,Mobile + QA,Create SRS-to-mobile traceability and evidence index,Do not inherit web/API pass status as mobile device proof.,Every mobile SRS item maps to implementation and evidence,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-31,,,Not Started,
MOB-065,Documentation,P1,Product + QA,Truth-sync mobile appointment and accessibility status in baseline docs,Current checklist and later roadmap notes are inconsistent.,Baseline reflects verified device evidence and remaining gaps,SRS mobile/auth/security requirement,See clean deployable mobile/backend source,,2026-07-31,,,Not Started,
